"Unidade";"Serie";"Turno";"Turma";"Capacidade";"Matriculados";"Vagas";"Excedidos";"Excedentes";"Intencoes";"Totais_Intencoes";"Totais_Excedentes"
"EMEI ANTONIO GUEDES DE AZEVEDO";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"20";"19";"1";"0";"1";"0";"0";"1"
"EMEI APPARECIDA PEREIRA PEZZATTO";"Infantil – II";"Tarde (Infantil)";"Inf. IIC";"2";"2";"0";"0";"1";"0";"0";"3"
"EMEI APPARECIDA PEREIRA PEZZATTO";"Infantil – III";"Manhã (Infantil)";"Inf. IIIB";"2";"2";"0";"0";"1";"0";"0";"3"
"EMEI APPARECIDA PEREIRA PEZZATTO";"Infantil – III";"Tarde (Infantil)";"Inf. IIIC";"4";"4";"0";"0";"1";"0";"0";"3"
"EMEI ARACY PELEGRINA BRAZOLOTO";"Infantil – II";"Manhã (Infantil)";"Inf. IIA";"15";"15";"0";"0";"14";"1";"1";"14"
"EMEI CARLOS GOMES PEIXOTO DE MELLO";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"2";"0";"0";"2"
"EMEI CATHARINA PAULUCCI SILVA";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"1";"0";"0";"4"
"EMEI CATHARINA PAULUCCI SILVA";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"20";"22";"0";"2";"3";"0";"0";"4"
"EMEI CHAPEUZINHO VERMELHO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"18";"2";"0";"2";"0";"4";"11"
"EMEI CHAPEUZINHO VERMELHO";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"4";"1";"4";"11"
"EMEI CHAPEUZINHO VERMELHO";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"8";"8";"0";"0";"4";"1";"4";"11"
"EMEI CHAPEUZINHO VERMELHO";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"10";"9";"1";"0";"3";"3";"4";"11"
"EMEI CHAPEUZINHO VERMELHO";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"12";"12";"0";"0";"3";"3";"4";"11"
"EMEI CHAPEUZINHO VERMELHO";"Infantil – III";"Manhã (Infantil)";"Inf. IIIC";"15";"15";"0";"0";"2";"0";"4";"11"
"EMEI DORIVAL TEIXEIRA DE GODOY";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"2";"0";"0";"2"
"EMEI EDNA KAMLA FAINA";"Infantil";"Integral (Infantil)";"Inf.A";"12";"12";"0";"0";"1";"0";"4";"12"
"EMEI EDNA KAMLA FAINA";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"10";"1";"4";"12"
"EMEI EDNA KAMLA FAINA";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"14";"1";"0";"1";"3";"4";"12"
"EMEI EDNA KAMLA FAINA";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"1";"3";"4";"12"
"EMEI FLORIPES SILVERIA DE SOUZA";"Infantil – II";"Manhã (Infantil)";"Inf. IIA";"15";"15";"0";"0";"1";"0";"2";"16"
"EMEI FLORIPES SILVERIA DE SOUZA";"Infantil – II";"Tarde (Infantil)";"Inf. IIB";"15";"15";"0";"0";"2";"1";"2";"16"
"EMEI FLORIPES SILVERIA DE SOUZA";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"21";"0";"1";"5";"0";"2";"16"
"EMEI FLORIPES SILVERIA DE SOUZA";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"20";"19";"1";"0";"8";"1";"2";"16"
"EMEI FRANCISCO GABRIELE NETO";"Infantil – II";"Tarde (Infantil)";"Inf. IIB";"7";"6";"1";"0";"2";"1";"1";"5"
"EMEI FRANCISCO GABRIELE NETO";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"1";"0";"1";"5"
"EMEI FRANCISCO GABRIELE NETO";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"10";"11";"0";"1";"2";"0";"1";"5"
"EMEI GILDA DOS SANTOS IMPROTA";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"1";"1";"6";"7"
"EMEI GILDA DOS SANTOS IMPROTA";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"14";"1";"0";"2";"0";"6";"7"
"EMEI GILDA DOS SANTOS IMPROTA";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"2";"0";"6";"7"
"EMEI GILDA DOS SANTOS IMPROTA";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"4";"5";"6";"7"
"EMEI GILDA DOS SANTOS IMPROTA";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"15";"15";"0";"0";"4";"5";"6";"7"
"EMEI ISAAC PORTAL ROLDAN";"Infantil – III";"Tarde (Infantil)";"Inf. IIIC";"13";"12";"1";"0";"2";"2";"2";"2"
"EMEI JAYME BICHUSKY";"Infantil – II";"Tarde (Infantil)";"Inf. IIB";"15";"15";"0";"0";"1";"0";"0";"6"
"EMEI JAYME BICHUSKY";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"3";"0";"0";"6"
"EMEI JAYME BICHUSKY";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"20";"20";"0";"0";"2";"0";"0";"6"
"EMEI JOSÉ GORI";"Infantil – II";"Manhã (Infantil)";"Inf. IIA";"8";"8";"0";"0";"7";"0";"1";"8"
